OCC_CODE,OCC_TITLE,occ_major_group,AIOE,AIOE_z,UAIOE,UAIOE_ev,AIOE_rank,UAIOE_rank,rank_diff,cluster,cluster_label
13-1131,Fundraisers,Business & Financial,1.242567,1.2433704783977528,1.5949400897131374,1.5200684866960217,108,16,-92,3,Highest Exposure Knowledge & Management
13-1141,"Compensation, Benefits, and Job Analysis Specialists",Business & Financial,1.440985,1.4419167799035637,1.014990622145282,1.3967862007185006,12,144,132,2,High Exposure Analytical & Office
13-1151,Training and Development Specialists,Business & Financial,1.198409,1.1991839248497205,1.4815829397047606,1.3501118454823993,120,34,-86,3,Highest Exposure Knowledge & Management
13-1161,Market Research Analysts and Marketing Specialists,Business & Financial,1.426757,1.427679579761315,1.5928558206072525,1.5904022365515984,19,17,-2,3,Highest Exposure Knowledge & Management
13-2011,Accountants and Auditors,Business & Financial,1.481956,1.4829142726662896,1.3259747247755918,1.4005124393173363,7,66,59,3,Highest Exposure Knowledge & Management
13-2031,Budget Analysts,Business & Financial,1.502988,1.5039598724267458,0.9434390973070016,1.3712403064932692,4,157,153,2,High Exposure Analytical & Office
13-2041,Credit Analysts,Business & Financial,1.345268,1.34613788715577,1.0917761135942272,1.5764597303204428,58,123,65,2,High Exposure Analytical & Office
13-2052,Personal Financial Advisors,Business & Financial,1.400749,1.4016547624082365,1.5986509979801888,1.7090152980639746,28,15,-13,3,Highest Exposure Knowledge & Management
13-2053,Insurance Underwriters,Business & Financial,1.326652,1.3275098496348186,1.0277515166749989,1.4118578941626068,74,138,64,2,High Exposure Analytical & Office
13-2061,Financial Examiners,Business & Financial,1.526064,1.527050793883207,1.51115045205232,1.6322897013369078,2,32,30,3,Highest Exposure Knowledge & Management
13-2071,Credit Counselors,Business & Financial,1.385381,1.3862768251165527,1.1125251258766782,1.515210110930753,35,116,81,2,High Exposure Analytical & Office
13-2072,Loan Officers,Business & Financial,1.385739,1.3866350566073404,1.1030610133394463,1.3881749240262686,34,119,85,2,High Exposure Analytical & Office
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Business & Financial,1.36682,1.3677038231598284,1.2181019073346133,1.3465755627057236,43,94,51,2,High Exposure Analytical & Office
13-2082,Tax Preparers,Business & Financial,1.29371,1.2945465486026315,0.9817056268153636,1.406072930568674,89,152,63,2,High Exposure Analytical & Office
15-2011,Actuaries,Computer & Math,1.516474,1.5174545927752392,1.4769814030613273,1.6115782388478355,3,36,33,3,Highest Exposure Knowledge & Management
15-2021,Mathematicians,Computer & Math,1.472319,1.4732710411670733,1.4527867709558093,1.6942393978248502,8,42,34,3,Highest Exposure Knowledge & Management
15-2031,Operations Research Analysts,Computer & Math,1.40002,1.4009252910205714,1.5465356908606211,1.5703814832757172,29,24,-5,3,Highest Exposure Knowledge & Management
15-2041,Statisticians,Computer & Math,1.382724,1.3836181070410711,1.532898610029129,1.6539293171538003,36,27,-9,3,Highest Exposure Knowledge & Management
17-1011,"Architects, Except Landscape and Naval",Architecture & Engineering,1.047142,1.0478191122325209,1.337520474365239,0.9156120718721343,153,62,-91,3,Highest Exposure Knowledge & Management
17-1012,Landscape Architects,Architecture & Engineering,1.034388,1.0350568652115597,1.1457941023093927,0.9314732772779546,159,110,-49,3,Highest Exposure Knowledge & Management
17-1021,Cartographers and Photogrammetrists,Architecture & Engineering,0.8169979,0.8175261959225921,0.7783852827472488,0.7222626803697613,203,198,-5,3,Highest Exposure Knowledge & Management
17-1022,Surveyors,Architecture & Engineering,0.1460606,0.1461550528947695,0.4458958677701882,0.07837972909536021,282,254,-28,1,Moderate Exposure Service & Healthcare
17-2011,Aerospace Engineers,Architecture & Engineering,1.338738,1.3396036647120757,1.2215939577687684,1.1025593680746064,63,92,29,3,Highest Exposure Knowledge & Management
17-2021,Agricultural Engineers,Architecture & Engineering,0.9409636,0.9415720549100774,0.6553399815293839,0.31226415708292365,178,220,42,1,Moderate Exposure Service & Healthcare
17-2031,Bioengineers and Biomedical Engineers,Architecture & Engineering,0.9874239,0.9880623971766582,1.102453771868259,0.8745903175646176,173,120,-53,3,Highest Exposure Knowledge & Management
17-2041,Chemical Engineers,Architecture & Engineering,1.341336,1.342203344636841,1.0221226752997474,0.9637267686931823,61,141,80,3,Highest Exposure Knowledge & Management
17-2051,Civil Engineers,Architecture & Engineering,1.282867,1.2836965372769078,1.353127131587014,1.0770554967241135,95,59,-36,3,Highest Exposure Knowledge & Management
17-2061,Computer Hardware Engineers,Architecture & Engineering,1.141812,1.1425503279667542,1.0854446288368707,1.0014825716472762,135,124,-11,3,Highest Exposure Knowledge & Management
17-2071,Electrical Engineers,Architecture & Engineering,1.126725,1.1274535723759398,1.1032371966043941,0.8917079746722966,140,118,-22,3,Highest Exposure Knowledge & Management
17-2072,"Electronics Engineers, Except Computer",Architecture & Engineering,0.6654578,0.6658881067128395,0.7385095368395225,0.6830426475873274,222,207,-15,3,Highest Exposure Knowledge & Management
17-2081,Environmental Engineers,Architecture & Engineering,1.343561,1.3444297833714844,1.330599799936911,1.0945181426820878,59,63,4,3,Highest Exposure Knowledge & Management
