AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,PRIM_STATE,PCT_RPT,MAJOR_SOC,MAJOR_TITLE
99,U.S.,1,0,Cross-industry,cross-industry,1235,29-1216,General Internal Medicine Physicians,detailed,67220,2.6,,,,108.3,225270.0,1.4,31.07,45.5,103.11,,,64620.0,94630.0,214460.0,,,,,2022,US,,29,Healthcare Practitioners and Technical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-2131,Materials Engineers,detailed,26820,2.4,,,,47.06,97890.0,0.8,27.57,34.82,44.88,57.78,71.62,57340.0,72420.0,93360.0,120180.0,148960.0,,,2019,,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,51-3023,Slaughterers and Meat Packers,detailed,73390,3.2,,,,14.23,29600.0,0.8,10.32,12.07,14.05,16.39,18.6,21470.0,25100.0,29230.0,34090.0,38690.0,,,2019,,,51,Production Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,41-3021,Insurance Sales Agents,detailed,445540,1.3,,,,37.0,76950.0,2.1,15.16,19.25,27.82,39.41,62.67,31530.0,40030.0,57860.0,81970.0,130350.0,,,2022,US,,41,Sales and Related Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,180270,1.6,,,,32.49,67580.0,0.9,21.85,25.72,30.76,37.54,44.41,45450.0,53500.0,63980.0,78090.0,92360.0,,,2024,US,,49,"Installation, Maintenance, and Repair Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-9099,"Installation, Maintenance, and Repair Workers, All Other",detailed,161290,2.1,,,,21.06,43800.0,0.5,12.23,15.09,19.15,25.8,31.63,25440.0,31380.0,39830.0,53670.0,65800.0,,,2019,,,49,"Installation, Maintenance, and Repair Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,33-1012,First-Line Supervisors of Police and Detectives,detailed,121340,0.5,,,,45.65,94950.0,0.6,25.15,32.77,43.79,57.2,70.47,52320.0,68170.0,91090.0,118970.0,146580.0,,,2019,,,33,Protective Service Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,25440,3.1,,,,42.68,88770.0,1.1,26.53,34.15,45.06,50.35,56.36,55170.0,71030.0,93720.0,104720.0,117220.0,,,2022,US,,49,"Installation, Maintenance, and Repair Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-1031,"Architecture Teachers, Postsecondary",detailed,9120,1.2,,,,,110360.0,0.9,,,,,,59590.0,78090.0,101480.0,129310.0,166720.0,True,,2024,US,,25,Educational Instruction and Library Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-2051,"Special Education Teachers, Preschool",detailed,22970,5.4,,,,,69620.0,1.1,,,,,,38020.0,48760.0,62240.0,81270.0,113700.0,True,,2022,US,,25,Educational Instruction and Library Occupations
