OCC_CODE,A_PCT10_2019,A_PCT10_2022,A_PCT10_2024,A_PCT25_2019,A_PCT25_2022,A_PCT25_2024,A_PCT75_2019,A_PCT75_2022,A_PCT75_2024,A_PCT90_2019,A_PCT90_2022,A_PCT90_2024,TOT_EMP_2019,TOT_EMP_2022,TOT_EMP_2024,real_median_wage_2019,real_median_wage_2022,real_median_wage_2024,OCC_TITLE,emp_change_pct_19_24,emp_change_pct_19_22,emp_change_pct_22_24,wage_change_pct_19_24,wage_change_pct_19_22,wage_change_pct_22_24
19-1021,50620.0,61540.0,64890.0,66550.0,78700.0,78730.0,132200.0,133150.0,134460.0,182870.0,171010.0,168900.0,31360.0,32500.0,34520.0,109891.87,112218.61,103650.0,Biochemists and Biophysicists,10.076530612244898,3.635204081632653,6.215384615384616,-5.680010723268254,2.1172994872141047,-7.635640826419077
19-1022,43500.0,46270.0,51220.0,54760.0,59110.0,63920.0,108390.0,108120.0,120750.0,133280.0,136630.0,150650.0,18270.0,19710.0,19760.0,87980.95,88631.19,87330.0,Microbiologists,8.15544608648057,7.881773399014778,0.2536783358701167,-0.7398760754458744,0.7390690825684484,-1.4680949223405466
19-1023,38880.0,44610.0,48240.0,49860.0,52960.0,58360.0,79000.0,83070.0,90590.0,101780.0,104750.0,113350.0,19250.0,17410.0,16920.0,73583.01000000001,72891.83,72860.0,Zoologists and Wildlife Biologists,-12.103896103896105,-9.55844155844156,-2.8144744399770247,-0.9825773639866175,-0.9393200957666824,-0.0436674453090308
19-1029,48670.0,50730.0,54500.0,63360.0,63920.0,67950.0,101000.0,114670.0,121350.0,133080.0,155570.0,159780.0,40100.0,55300.0,59710.0,95621.86,94371.3,93330.0,"Biological Scientists, All Other",48.90274314214464,37.90523690773068,7.974683544303797,-2.3967950424725064,-1.3078181077004754,-1.1034074978303816
19-1031,39270.0,41360.0,45260.0,49480.0,50230.0,53190.0,79630.0,82750.0,87980.0,98060.0,102670.0,107720.0,22070.0,22880.0,25590.0,72873.58,69681.26,67950.0,Conservation Scientists,15.949252378794744,3.670140462165836,11.844405594405597,-6.75633062078191,-4.380627382379193,-2.484541754841969
19-1032,38890.0,45260.0,49240.0,49300.0,51710.0,58810.0,74400.0,79660.0,85450.0,90080.0,97460.0,103220.0,9510.0,9430.0,9650.0,71861.77,69421.81999999999,70660.0,Foresters,1.4721345951629865,-0.8412197686645636,2.332979851537646,-1.672335652183357,-3.3953380218717286,1.783560269667387
19-1041,44000.0,51170.0,56950.0,56220.0,62320.0,68040.0,92600.0,100940.0,106040.0,119290.0,123430.0,134860.0,7410.0,9430.0,11460.0,82561.37,84880.12,83980.0,Epidemiologists,54.655870445344135,27.26045883940621,21.52704135737009,1.718273328070991,2.8085168644851706,-1.0604603292266734
19-1042,49020.0,58190.0,61860.0,61920.0,66780.0,77260.0,121850.0,132870.0,133870.0,159680.0,170260.0,168210.0,127180.0,110550.0,156300.0,103262.77,108024.33,100590.0,"Medical Scientists, Except Epidemiologists",22.896681868218277,-13.075955338889765,41.38398914518318,-2.5883191008724675,4.611110083527682,-6.8820885072835
19-1099,39380.0,47710.0,52360.0,53780.0,62210.0,66340.0,104340.0,124530.0,123720.0,145510.0,169150.0,168860.0,6450.0,8320.0,7320.0,88283.33,90728.33,87800.0,"Life Scientists, All Other",13.488372093023257,28.992248062015506,-12.01923076923077,-0.5474759504427413,2.76949226994496,-3.227580624486312
19-2011,59420.0,63390.0,70730.0,79010.0,83980.0,94990.0,160650.0,166020.0,177690.0,185780.0,181510.0,191880.0,2070.0,2160.0,1560.0,133268.17,138724.72999999998,132170.0,Astronomers,-24.637681159420293,4.3478260869565215,-27.77777777777778,-0.8240302241713177,4.094421045925646,-4.724990273904287
19-2012,62470.0,74760.0,80020.0,88670.0,108050.0,117450.0,164210.0,176280.0,210260.0,201990.0,219760.0,,16730.0,18840.0,21340.0,142874.55000000002,154420.85,166290.0,Physicists,27.55528989838613,12.61207411835027,13.26963906581741,16.38881802252394,8.081425278329826,7.686235375598563
19-2021,49700.0,50490.0,49990.0,70050.0,66210.0,69440.0,119110.0,115400.0,128940.0,147160.0,141520.0,160710.0,9290.0,9900.0,8780.0,110926.94,90566.18,97450.0,Atmospheric and Space Scientists,-5.489773950484392,6.566200215285253,-11.313131313131311,-12.149384090104714,-18.35510832625511,7.600872643629231
19-2031,44460.0,49050.0,53210.0,57090.0,61960.0,63930.0,104670.0,109270.0,120210.0,133690.0,139200.0,154430.0,83530.0,83940.0,83250.0,90283.69,87204.27,84150.0,Chemists,-0.3352089069795283,0.4908416137914521,-0.8220157255182273,-6.79379631027487,-3.410826473751791,-3.5024317043190707
19-2032,51950.0,61730.0,61460.0,69060.0,80900.0,79980.0,126310.0,135250.0,134140.0,157780.0,165840.0,168500.0,6710.0,7620.0,8330.0,112590.03,112834.78,104160.0,Materials Scientists,24.14307004470939,13.561847988077496,9.317585301837273,-7.487368108881398,0.2173815923132803,-7.688037323243773
19-2041,42810.0,46920.0,50130.0,54100.0,59060.0,62090.0,95140.0,100670.0,103730.0,124760.0,130770.0,134830.0,84290.0,77270.0,84930.0,82991.68000000001,82674.87999999999,80060.0,"Environmental Scientists and Specialists, Including Health",0.7592834262664611,-8.328390081860244,9.913291057331437,-3.532498679385702,-0.3817250114710504,-3.162847046164434
19-2042,51000.0,49150.0,58790.0,65180.0,62770.0,72440.0,130870.0,131610.0,134350.0,187910.0,173620.0,178880.0,29200.0,25230.0,22510.0,107042.52,94565.88,99240.0,"Geoscientists, Except Hydrologists and Geographers",-22.910958904109588,-13.595890410958903,-10.78081648830757,-7.289178169572244,-11.655779404296547,4.94271295312856
19-2043,51220.0,54590.0,60010.0,63650.0,66580.0,73330.0,104280.0,110880.0,114940.0,127400.0,150490.0,139420.0,6440.0,6270.0,5720.0,94517.01,92955.19,92060.0,Hydrologists,-11.180124223602483,-2.639751552795031,-8.771929824561402,-2.599542664331012,-1.652422140734252,-0.9630339091340704
19-2099,51680.0,56520.0,61990.0,77460.0,80530.0,82450.0,139300.0,143350.0,154900.0,165270.0,176280.0,191880.0,17550.0,19820.0,22580.0,127825.33,116715.57,117960.0,"Physical Scientists, All Other",28.66096866096866,12.934472934472934,13.925327951564077,-7.717820873218166,-8.691360311762942,1.0662073620511878
19-3011,59450.0,62480.0,62340.0,78800.0,81810.0,82260.0,143620.0,156940.0,166030.0,185020.0,207230.0,212710.0,19000.0,16370.0,15880.0,122138.26,123169.14,115440.0,Economists,-16.42105263157895,-13.842105263157894,-2.993280390959072,-5.484161965300642,0.8440270886452698,-6.275224459633313
19-3022,32150.0,30770.0,36950.0,43030.0,44150.0,46110.0,79920.0,80620.0,85370.0,108860.0,104890.0,118730.0,9930.0,7880.0,7720.0,68814.71,65303.21,63380.0,Survey Researchers,-22.255790533736157,-20.644511581067476,-2.030456852791878,-7.897599219701726,-5.102833391290913,-2.945046652377424
19-3032,51080.0,72490.0,51880.0,61380.0,85990.0,80790.0,148170.0,209630.0,198170.0,197700.0,210030.0,224590.0,630.0,1280.0,1050.0,108019.44,150561.68,109840.0,Industrial-Organizational Psychologists,66.66666666666666,103.1746031746032,-17.96875,1.6854003316440058,39.383873865667134,-27.046510108016857
19-3039,46100.0,40000.0,51410.0,75740.0,68410.0,73820.0,114870.0,124020.0,145200.0,129530.0,138860.0,163570.0,14220.0,13900.0,17790.0,118381.77,115040.02,117580.0,"Psychologists, All Other",25.105485232067508,-2.250351617440225,27.98561151079137,-0.6772748878480226,-2.822858620883954,2.207909908221513
19-3041,46920.0,57490.0,60710.0,62460.0,71680.0,78150.0,108500.0,126920.0,134780.0,141770.0,166040.0,168590.0,2630.0,2980.0,2950.0,97017.46,106575.79,101690.0,Sociologists,12.167300380228136,13.307984790874524,-1.006711409395973,4.816184633157778,9.852175062097055,-4.584333834166272
