OCC_CODE,OCC_TITLE,YEAR,A_MEAN,wage_eqw,wage_eqf,wage_entropy,wage_cluster
49-9095,Manufactured Building and Mobile Home Installers,2019,34300.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
49-9096,Riggers,2019,52420.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
49-9097,Signal and Track Switch Repairers,2019,72690.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",2019,32570.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
49-9099,"Installation, Maintenance, and Repair Workers, All Other",2019,43800.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-1011,First-Line Supervisors of Production and Operating Workers,2019,65220.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2019,56460.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-2021,"Coil Winders, Tapers, and Finishers",2019,38760.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",2019,36930.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-2031,Engine and Other Machine Assemblers,2019,46570.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-2041,Structural Metal Fabricators and Fitters,2019,43000.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-2051,Fiberglass Laminators and Fabricators,2019,36970.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-2061,Timing Device Assemblers and Adjusters,2019,38110.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-2090,Miscellaneous Assemblers and Fabricators,2019,34800.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-3011,Bakers,2019,29630.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-3021,Butchers and Meat Cutters,2019,34010.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",2019,28810.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-3023,Slaughterers and Meat Packers,2019,29600.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2019,33880.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-3092,Food Batchmakers,2019,33120.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-3093,Food Cooking Machine Operators and Tenders,2019,32320.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-3099,"Food Processing Workers, All Other",2019,28820.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2019,37770.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2019,41200.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2019,41920.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2019,37310.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2019,42630.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2019,37860.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2019,41990.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2019,44820.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4041,Machinists,2019,46120.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4051,Metal-Refining Furnace Operators and Tenders,2019,43280.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4052,"Pourers and Casters, Metal",2019,40850.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4061,"Model Makers, Metal and Plastic",2019,57420.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4062,"Patternmakers, Metal and Plastic",2019,48050.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4071,Foundry Mold and Coremakers,2019,36920.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2019,34670.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2019,38410.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-4111,Tool and Die Makers,2019,54980.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4121,"Welders, Cutters, Solderers, and Brazers",2019,45190.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2019,40240.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",2019,39840.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-4192,"Layout Workers, Metal and Plastic",2019,48900.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",2019,35640.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-4194,"Tool Grinders, Filers, and Sharpeners",2019,41970.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-4199,"Metal Workers and Plastic Workers, All Other",2019,37790.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-5111,Prepress Technicians and Workers,2019,42540.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-5112,Printing Press Operators,2019,39100.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-5113,Print Binding and Finishing Workers,2019,35130.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6011,Laundry and Dry-Cleaning Workers,2019,25420.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6021,"Pressers, Textile, Garment, and Related Materials",2019,24820.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6031,Sewing Machine Operators,2019,28000.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6041,Shoe and Leather Workers and Repairers,2019,30580.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6042,Shoe Machine Operators and Tenders,2019,30540.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6051,"Sewers, Hand",2019,31020.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6052,"Tailors, Dressmakers, and Custom Sewers",2019,34530.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,2019,30810.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",2019,29660.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",2019,31300.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2019,30740.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2019,37760.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6092,Fabric and Apparel Patternmakers,2019,52740.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-6093,Upholsterers,2019,36640.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",2019,30710.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-7011,Cabinetmakers and Bench Carpenters,2019,37620.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-7021,Furniture Finishers,2019,34350.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-7031,"Model Makers, Wood",2019,57320.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-7032,"Patternmakers, Wood",2019,63490.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",2019,32150.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2019,32180.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-7099,"Woodworkers, All Other",2019,35270.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-8011,Nuclear Power Reactor Operators,2019,100990.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
51-8012,Power Distributors and Dispatchers,2019,88910.0,Very Low,Q4,"(87500.0, 171905.0]","(61812.893, 101799.419]"
51-8013,Power Plant Operators,2019,79370.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
51-8021,Stationary Engineers and Boiler Operators,2019,65970.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
51-8031,Water and Wastewater Treatment Plant and System Operators,2019,50490.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-8091,Chemical Plant and System Operators,2019,62710.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
51-8092,Gas Plant Operators,2019,71050.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2019,73830.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
51-8099,"Plant and System Operators, All Other",2019,59500.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9011,Chemical Equipment Operators and Tenders,2019,51540.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2019,45370.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2019,39270.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9022,"Grinding and Polishing Workers, Hand",2019,33060.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",2019,39920.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9031,"Cutters and Trimmers, Hand",2019,32340.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",2019,36750.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2019,37240.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2019,41350.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",2019,43000.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9071,Jewelers and Precious Stone and Metal Workers,2019,45950.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9081,Dental Laboratory Technicians,2019,44330.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9082,Medical Appliance Technicians,2019,44200.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9083,Ophthalmic Laboratory Technicians,2019,34800.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9111,Packaging and Filling Machine Operators and Tenders,2019,33590.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9123,"Painting, Coating, and Decorating Workers",2019,35600.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2019,41260.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9141,Semiconductor Processing Technicians,2019,41950.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9151,Photographic Process Workers and Processing Machine Operators,2019,36890.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9161,Computer Numerically Controlled Tool Operators,2019,43170.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9162,Computer Numerically Controlled Tool Programmers,2019,59730.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9191,Adhesive Bonding Machine Operators and Tenders,2019,36010.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2019,34230.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9193,Cooling and Freezing Equipment Operators and Tenders,2019,37010.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9194,Etchers and Engravers,2019,33770.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",2019,36000.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",2019,40980.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9197,Tire Builders,2019,45010.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
51-9198,Helpers--Production Workers,2019,30540.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
51-9199,"Production Workers, All Other",2019,33830.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-1041,Aircraft Cargo Handling Supervisors,2019,57960.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",2019,57840.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-2011,"Airline Pilots, Copilots, and Flight Engineers",2019,174870.0,Low,Q5,"(171905.0, inf]","(101799.419, 179850.373]"
53-2012,Commercial Pilots,2019,102870.0,Very Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
53-2021,Air Traffic Controllers,2019,120140.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
53-2022,Airfield Operations Specialists,2019,57620.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-2031,Flight Attendants,2019,56230.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2019,29600.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-3031,Driver/Sales Workers,2019,30230.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-3032,Heavy and Tractor-Trailer Truck Drivers,2019,46850.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-3033,Light Truck Drivers,2019,38520.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-3052,"Bus Drivers, Transit and Intercity",2019,45830.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-3058,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",2019,33210.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-3099,"Motor Vehicle Operators, All Other",2019,37300.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-4011,Locomotive Engineers,2019,71570.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",2019,52690.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",2019,62380.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
53-4031,Railroad Conductors and Yardmasters,2019,68350.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
53-4041,Subway and Streetcar Operators,2019,63770.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
53-4099,"Rail Transportation Workers, All Other",2019,54170.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-5011,Sailors and Marine Oilers,2019,53250.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-5021,"Captains, Mates, and Pilots of Water Vessels",2019,87420.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
53-5022,Motorboat Operators,2019,49030.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-5031,Ship Engineers,2019,79540.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
53-6011,Bridge and Lock Tenders,2019,47880.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-6021,Parking Attendants,2019,26450.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-6031,Automotive and Watercraft Service Attendants,2019,26860.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-6041,Traffic Technicians,2019,52590.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-6051,Transportation Inspectors,2019,77530.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
53-6061,Passenger Attendants,2019,29420.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-6098,"Aircraft Service Attendants and Transportation Workers, All Other",2019,42940.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-7011,Conveyor Operators and Tenders,2019,36150.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-7021,Crane and Tower Operators,2019,60530.0,Very Low,Q3,"(60460.0, 87500.0]","(-inf, 61812.893]"
53-7031,Dredge Operators,2019,51340.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-7041,Hoist and Winch Operators,2019,62690.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
53-7051,Industrial Truck and Tractor Operators,2019,37930.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-7061,Cleaners of Vehicles and Equipment,2019,27940.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2019,32130.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-7063,Machine Feeders and Offbearers,2019,33010.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-7064,"Packers and Packagers, Hand",2019,27680.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-7065,Stockers and Order Fillers,2019,29660.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
53-7071,Gas Compressor and Gas Pumping Station Operators,2019,62710.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
53-7072,"Pump Operators, Except Wellhead Pumpers",2019,49120.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-7073,Wellhead Pumpers,2019,55080.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-7081,Refuse and Recyclable Material Collectors,2019,41400.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-7121,"Tank Car, Truck, and Ship Loaders",2019,47580.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
53-7199,"Material Moving Workers, All Other",2019,36530.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
11-1011,Chief Executives,2022,246440.0,Mid,Q5,"(171905.0, inf]","(179850.373, 294651.12]"
11-1021,General and Operations Managers,2022,122860.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-1031,Legislators,2022,71100.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-2011,Advertising and Promotions Managers,2022,147050.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-2021,Marketing Managers,2022,158280.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-2022,Sales Managers,2022,150530.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-2032,Public Relations Managers,2022,150030.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-2033,Fundraising Managers,2022,124450.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3012,Administrative Services Managers,2022,115640.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3013,Facilities Managers,2022,105970.0,Very Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3021,Computer and Information Systems Managers,2022,173670.0,Low,Q5,"(171905.0, inf]","(101799.419, 179850.373]"
11-3031,Financial Managers,2022,166050.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3051,Industrial Production Managers,2022,120900.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3061,Purchasing Managers,2022,140650.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3071,"Transportation, Storage, and Distribution Managers",2022,108910.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3111,Compensation and Benefits Managers,2022,143140.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3121,Human Resources Managers,2022,145750.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-3131,Training and Development Managers,2022,132100.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2022,83790.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9021,Construction Managers,2022,112790.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9031,"Education and Childcare Administrators, Preschool and Daycare",2022,57610.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
11-9032,"Education Administrators, Kindergarten through Secondary",2022,106690.0,Very Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9033,"Education Administrators, Postsecondary",2022,115180.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9039,"Education Administrators, All Other",2022,99820.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
11-9041,Architectural and Engineering Managers,2022,163310.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9051,Food Service Managers,2022,67130.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9071,Gambling Managers,2022,95830.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
11-9072,"Entertainment and Recreation Managers, Except Gambling",2022,79750.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9081,Lodging Managers,2022,73230.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9111,Medical and Health Services Managers,2022,127980.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9121,Natural Sciences Managers,2022,163610.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
11-9131,Postmasters and Mail Superintendents,2022,84190.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9141,"Property, Real Estate, and Community Association Managers",2022,76110.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9151,Social and Community Service Managers,2022,79310.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9161,Emergency Management Directors,2022,88890.0,Very Low,Q4,"(87500.0, 171905.0]","(61812.893, 101799.419]"
11-9171,Funeral Home Managers,2022,84770.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
11-9179,"Personal Service Managers, All Other",2022,60510.0,Very Low,Q3,"(60460.0, 87500.0]","(-inf, 61812.893]"
11-9199,"Managers, All Other",2022,141190.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2022,120100.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
13-1020,Buyers and Purchasing Agents,2022,75140.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1031,"Claims Adjusters, Examiners, and Investigators",2022,73380.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1032,"Insurance Appraisers, Auto Damage",2022,71580.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1041,Compliance Officers,2022,76980.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1051,Cost Estimators,2022,76740.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1071,Human Resources Specialists,2022,73080.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1074,Farm Labor Contractors,2022,54630.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
13-1075,Labor Relations Specialists,2022,87470.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1081,Logisticians,2022,81220.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
13-1082,Project Management Specialists,2022,101610.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
13-1111,Management Analysts,2022,104660.0,Very Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
13-1121,"Meeting, Convention, and Event Planners",2022,58750.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
13-1131,Fundraisers,2022,66670.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
