MAJOR_SOC,MAJOR_TITLE,YEAR,emp_sum,wage_mean,wage_median,wage_mode,wage_std,wage_var,wage_q1,wage_q3
41,Sales and Related Occupations,2019,14371440,55283.0,45260.0,24370.0,25804.0,665865602.0,35168.0,70278.0
41,Sales and Related Occupations,2022,13183240,64080.0,61145.0,28730.0,28413.0,807298795.0,38665.0,77370.0
41,Sales and Related Occupations,2024,13351670,67812.0,64000.0,31810.0,28926.0,836713749.0,42718.0,81532.0
43,Office and Administrative Support Occupations,2019,19528260,41712.0,41920.0,41880.0,7654.0,58579048.0,36442.0,46200.0
43,Office and Administrative Support Occupations,2022,18674770,45817.0,45675.0,41140.0,7902.0,62438688.0,41140.0,49785.0
43,Office and Administrative Support Occupations,2024,18218060,50443.0,49965.0,34740.0,8413.0,70786272.0,45385.0,55398.0
45,"Farming, Fishing, and Forestry Occupations",2019,482680,38660.0,39110.0,27570.0,8488.0,72046083.0,32790.0,46420.0
45,"Farming, Fishing, and Forestry Occupations",2022,461000,44010.0,44570.0,32990.0,8504.0,72312700.0,36290.0,48650.0
45,"Farming, Fishing, and Forestry Occupations",2024,440980,48715.0,48130.0,36080.0,8709.0,75840744.0,42830.0,55650.0
47,Construction and Extraction Occupations,2019,6194150,49501.0,48455.0,32930.0,10252.0,105106240.0,42970.0,55918.0
47,Construction and Extraction Occupations,2022,6075510,55106.0,54380.0,37590.0,10272.0,105509899.0,48458.0,61590.0
47,Construction and Extraction Occupations,2024,6361730,60170.0,59810.0,40880.0,11395.0,129856344.0,52522.0,66292.0
49,"Installation, Maintenance, and Repair Occupations",2019,5713450,50489.0,49450.0,30350.0,11803.0,139300471.0,42015.0,58190.0
49,"Installation, Maintenance, and Repair Occupations",2022,5823380,56096.0,53220.0,34970.0,12868.0,165597881.0,47225.0,62265.0
49,"Installation, Maintenance, and Repair Occupations",2024,6045030,62217.0,61480.0,67580.0,13222.0,174833427.0,53345.0,68910.0
51,Production Occupations,2019,9159020,41892.0,37860.0,30540.0,12898.0,166347146.0,34010.0,44820.0
51,Production Occupations,2022,8738950,47026.0,42750.0,41770.0,14083.0,198339910.0,38860.0,49200.0
51,Production Occupations,2024,8743430,51584.0,47420.0,44130.0,14692.0,215840464.0,43280.0,55030.0
53,Transportation and Material Moving Occupations,2019,12532040,53753.0,49120.0,26450.0,26837.0,720216221.0,36340.0,61455.0
53,Transportation and Material Moving Occupations,2022,13560460,58775.0,52430.0,31230.0,32816.0,1076906711.0,39175.0,65118.0
53,Transportation and Material Moving Occupations,2024,13645590,64350.0,56170.0,34190.0,39171.0,1534381269.0,43038.0,69332.0
