OCC_CODE,OCC_TITLE_FELTEN,AIOE,AIOE_z
17-2141,Mechanical Engineers,1.004709,1.0053586741079754
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1.34695,1.3478209747744982
17-2161,Nuclear Engineers,1.303009,1.303851561543507
17-2171,Petroleum Engineers,1.247779,1.2485858485932406
17-2199,"Engineers, All Other",0.787566,0.7880752645993812
17-3011,Architectural and Civil Drafters,0.9233925,0.9239895930447791
17-3012,Electrical and Electronics Drafters,0.910166,0.9107545404947757
17-3013,Mechanical Drafters,0.8410071,0.8415509208069942
17-3021,Aerospace Engineering and Operations Technicians,0.3909402,0.39119299750776987
17-3022,Civil Engineering Technicians,0.9323219,0.9329247669940479
17-3023,Electrical and Electronic Engineering Technicians,0.3515252,0.35175251088936055
17-3024,Electro-Mechanical Technicians,-0.3040507,-0.30424729911448556
17-3025,Environmental Engineering Technicians,0.0438054,0.04383373240097878
17-3026,Industrial Engineering Technicians,0.6106679,0.6110627783410526
17-3027,Mechanical Engineering Technicians,-0.1192367,-0.11931379425860113
17-3029,"Engineering Technicians, Except Drafters, All Other",0.1941278,0.19425333421874258
17-3031,Surveying and Mapping Technicians,0.0852324,0.08528752002347884
19-1011,Animal Scientists,1.041358,1.0420313721690708
19-1012,Food Scientists and Technologists,0.7943575,0.79487115613481
19-1013,Soil and Plant Scientists,0.6320696,0.6324783171577775
19-1020,Biologists,0.752081,0.7525673192066562
19-1021,Biochemists and Biophysicists,0.9060509,0.9066367795793014
19-1022,Microbiologists,0.6955647,0.6960144745061108
19-1023,Zoologists and Wildlife Biologists,0.3175953,0.3178006710589924
19-1029,"Biological Scientists, All Other",1.010193,1.0108462201847317
19-1031,Conservation Scientists,0.0690313,0.06907594403074739
19-1032,Foresters,-0.184381,-0.1845002180164506
19-1041,Epidemiologists,1.436287,1.437215742071944
19-1042,"Medical Scientists, Except Epidemiologists",1.279928,1.2807556368539343
19-2011,Astronomers,1.373737,1.3746252958463572
19-2012,Physicists,1.345736,1.346606189775012
19-2021,Atmospheric and Space Scientists,1.373917,1.3748054122383735
19-2031,Chemists,0.5011251,0.5014491455225043
19-2032,Materials Scientists,1.032757,1.0334248105705692
19-2041,"Environmental Scientists and Specialists, Including Health",1.014113,1.014768754944193
19-2042,"Geoscientists, Except Hydrologists and Geographers",0.7143481,0.7148100202716373
19-2043,Hydrologists,0.6405071,0.640921273033531
19-2099,"Physical Scientists, All Other",1.140157,1.1408942578068284
19-3011,Economists,1.403764,1.4046717119745058
19-3022,Survey Researchers,1.42653,1.4274524329780505
19-3031,"Clinical, Counseling, and School Psychologists",1.456361,1.4573027223682258
19-3032,Industrial-Organizational Psychologists,1.402475,1.4033818784783463
19-3039,"Psychologists, All Other",1.389854,1.3907527174581522
19-3041,Sociologists,1.411125,1.412037471761341
19-3051,Urban and Regional Planners,1.227516,1.228309746085342
19-3091,Anthropologists and Archeologists,0.6965665,0.6970169222923424
19-3092,Geographers,1.436298,1.4372267491847894
19-3093,Historians,1.098921,1.0996315936891898
19-3094,Political Scientists,1.418863,1.4197804753247878
19-3099,"Social Scientists and Related Workers, All Other",1.328048,1.3289067523195655
19-4011,Agricultural and Food Science Technicians,0.095719,0.095780900893011
19-4021,Biological Technicians,0.3012355,0.3014302924473001
19-4031,Chemical Technicians,0.0628057,0.06284631841888469
19-4041,Geological and Petroleum Technicians,0.0832659,0.0833197484407032
19-4051,Nuclear Technicians,0.1696743,0.16978402204004742
19-4061,Social Science Research Assistants,1.204652,1.2054309617128112
19-4091,"Environmental Science and Protection Technicians, Including Health",0.0169452,0.01695616399636642
19-4092,Forensic Science Technicians,0.2400518,0.24020702970177765
19-4093,Forest and Conservation Technicians,-0.6672396,-0.6676710451605283
19-4099,"Life, Physical, and Social Science Technicians, All Other",0.4501044,0.4503954543995341
21-1011,Substance Abuse and Behavioral Disorder Counselors,1.030841,1.0315075716422204
21-1012,"Educational, Vocational, and School Counselors",0.9739287,0.9745584708792395
21-1013,Marriage and Family Therapists,1.367434,1.3683182201859276
21-1014,Mental Health Counselors,1.34239,1.3432580261767575
21-1015,Rehabilitation Counselors,0.5025014,0.5028263354687917
21-1021,"Child, Family, and School Social Workers",0.7761707,0.7766725961441545
21-1022,Medical and Public Health Social Workers,0.9339648,0.9345687293298435
21-1023,Mental Health and Substance Abuse Social Workers,1.119216,1.1199397168890024
21-1091,Health Educators,0.691658,0.6921052483467263
21-1092,Probation Officers and Correctional Treatment Specialists,0.5272448,0.527585735103295
21-1093,Social and Human Service Assistants,0.4652255,0.4655263320401691
21-1094,Community Health Workers,0.0371229,0.037146911347381927
21-2011,Clergy,1.282559,1.283388338117236
21-2021,"Directors, Religious Activities and Education",1.210922,1.2117050160347045
23-1011,Lawyers,1.328783,1.3296422275869646
23-1012,Judicial Law Clerks,1.462973,1.4639189978349496
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.374714,1.3756029275963557
23-1022,"Arbitrators, Mediators, and Conciliators",1.431593,1.4325187068268135
23-1023,"Judges, Magistrate Judges, and Magistrates",1.496494,1.4974616732614547
23-2011,Paralegals and Legal Assistants,1.292055,1.2928904784427062
23-2091,Court Reporters,0.835246,0.8357860955511953
23-2093,"Title Examiners, Abstractors, and Searchers",1.279954,1.2807816536661145
25-1011,"Business Teachers, Postsecondary",1.349314,1.3501865033896425
25-1021,"Computer Science Teachers, Postsecondary",1.277778,1.2786042466159646
25-1022,"Mathematical Science Teachers, Postsecondary",1.338676,1.3395416246214924
25-1031,"Architecture Teachers, Postsecondary",1.222022,1.2228121935423624
25-1032,"Engineering Teachers, Postsecondary",1.351133,1.3520066795956271
25-1041,"Agricultural Sciences Teachers, Postsecondary",0.7546685,0.7551564923418873
25-1042,"Biological Science Teachers, Postsecondary",1.227677,1.228470850191534
